strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,Type,timestamp,timeXvalue
11100,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11200,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11200,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11300,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11400,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11500,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE11500.00,75.0,0,0,0,0,0,0,0,500,0,500,3659.7,0,0,15832.05,CE,2022-06-27 18:58:37.138098,18:58
11600,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11600,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11700,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11800,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE11800.00,262.0,2,0.7692307692307693,4,147.39,4050.5,164.9000000000001,4.243874819847645,10600,7950,500,3948.65,100,4061.6,15832.05,CE,2022-06-27 18:58:37.138098,18:58
11900,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
11900,29-Jun-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12000,30-Mar-2023,NIFTY,OPTIDXNIFTY30-03-2023CE12000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,5190,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,29-Jun-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12000,28-Dec-2023,NIFTY,OPTIDXNIFTY28-12-2023CE12000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,5960,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024CE12000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,6420,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024CE12000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,6845,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025CE12000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,7245,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,24-Dec-2025,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12000,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026CE12000.00,1.0,0,0,0,0,0,0,0,0,50,0,0,50,7965,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,31-Dec-2026,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12000,29-Sep-2022,NIFTY,OPTIDXNIFTY29-09-2022CE12000.00,0.0,0,0,0,0,0,0,0,900,0,900,3060.25,0,0,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE12000.00,75.0,2,2.73972602739726,6,0,3825.05,160.10000000000036,4.368408845959709,8050,6700,50,3818.4,50,3837.65,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE12000.00,3.0,0,0,0,0,0,0,0,900,0,50,3842.4,0,0,15832.05,CE,2022-06-27 18:58:37.138098,18:58
12100,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12100,29-Jun-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12200,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12200,29-Jun-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12200,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12300,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12500,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12500,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12600,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12600,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12700,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12700,28-Dec-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12700,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12800,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12800,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
12900,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13000,30-Mar-2023,NIFTY,OPTIDXNIFTY30-03-2023CE13000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,4415,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,29-Jun-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13000,28-Dec-2023,NIFTY,OPTIDXNIFTY28-12-2023CE13000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,5285,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE13000.00,2519.0,-86,-3.3013435700575817,331,0,2833.6,134.3499999999999,4.977308511623596,44250,10550,50,2829.75,50,2835.45,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024CE13000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,6250,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025CE13000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,6680,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,24-Dec-2025,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13000,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026CE13000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,7456,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,31-Dec-2026,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13000,29-Sep-2022,NIFTY,OPTIDXNIFTY29-09-2022CE13000.00,128.0,107,509.5238095238095,110,0,2865,75,2.6881720430107525,900,350,150,2850,150,2865,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE13000.00,239.0,8,3.463203463203463,13,0,3050,24.699999999999818,0.8164479555746477,950,200,100,2987.55,100,3055,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13000,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024CE13000.00,0.0,0,0,0,0,0,0,0,0,50,0,0,50,5790,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13100,29-Dec-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13400,30-Jun-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13500,29-Dec-2022,NIFTY,OPTIDXNIFTY29-12-2022CE13500.00,89.0,17,23.61111111111111,17,0,2699,449,19.955555555555556,1800,1450,150,2583.1,50,2689.8,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13500,29-Jun-2023,NIFTY,OPTIDXNIFTY29-06-2023CE13500.00,69.0,0,0,0,0,0,0,0,0,50,0,0,50,4370,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13500,28-Dec-2023,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13800,14-Jul-2022,NIFTY,OPTIDXNIFTY14-07-2022CE13800.00,0.0,0,0,0,0,0,0,0,4250,4250,250,1998.8,250,2133.65,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13800,21-Jul-2022,NIFTY,OPTIDXNIFTY21-07-2022CE13800.00,0.0,0,0,0,0,0,0,0,2750,2750,2750,1826.5,2750,2282.1,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13800,28-Jul-2022,NIFTY,OPTIDXNIFTY28-07-2022CE13800.00,124.0,3,2.479338842975207,25,0,2060.35,143.3499999999999,7.47782994261867,8550,4700,50,2038.25,150,2054.35,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13800,04-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13800,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE13800.00,0.0,0,0,0,0,0,0,0,15950,11500,1250,1969.4,1250,2083.25,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13800,18-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13800,25-Aug-2022,NIFTY,OPTIDXNIFTY25-08-2022CE13800.00,2.0,0,0,0,0,0,0,0,4300,3400,2750,1851.15,2750,2249.5,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13800,07-Jul-2022,NIFTY,OPTIDXNIFTY07-07-2022CE13800.00,0.0,0,0,4,0,2051.85,254.5999999999999,14.166087077479478,4700,4700,250,2013.8,200,2061.1,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13800,11-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13850,07-Jul-2022,NIFTY,OPTIDXNIFTY07-07-2022CE13850.00,0.0,0,0,0,0,0,0,0,5000,5000,1250,1934.85,1250,2039.5,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13850,21-Jul-2022,NIFTY,OPTIDXNIFTY21-07-2022CE13850.00,0.0,0,0,0,0,0,0,0,2750,2750,2750,1781.25,2750,2227.45,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13850,28-Jul-2022,NIFTY,OPTIDXNIFTY28-07-2022CE13850.00,1.0,0,0,0,0,0,0,0,5900,4650,1300,1973,50,2055.85,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13850,04-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13850,11-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13850,18-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13850,25-Aug-2022,NIFTY,OPTIDXNIFTY25-08-2022CE13850.00,0.0,0,0,0,0,0,0,0,3650,3200,2750,1851.1,2750,2383.75,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13850,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE13850.00,0.0,0,0,0,0,0,0,0,13650,11850,1250,1923.1,1250,2032.3,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13850,14-Jul-2022,NIFTY,OPTIDXNIFTY14-07-2022CE13850.00,0.0,0,0,0,0,0,0,0,3750,3750,2750,1842.55,2750,2278,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13900,14-Jul-2022,NIFTY,OPTIDXNIFTY14-07-2022CE13900.00,0.0,0,0,0,0,0,0,0,3750,3750,2750,1807.65,1000,2223.45,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13900,30-Jun-2022,NIFTY,OPTIDXNIFTY30-06-2022CE13900.00,2.0,0,0,2,103.59,1995.1,310.39999999999986,18.424645337448794,15850,11550,1250,1879.85,1250,1976.85,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13900,04-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13900,11-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13900,18-Aug-2022,,,,,,,,,,,,,,,,,,CE,2022-06-27 18:58:37.138098,18:58
13900,25-Aug-2022,NIFTY,OPTIDXNIFTY25-08-2022CE13900.00,0.0,0,0,0,0,0,0,0,3300,3650,2750,1851.1,2750,2343.4,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13900,21-Jul-2022,NIFTY,OPTIDXNIFTY21-07-2022CE13900.00,0.0,0,0,0,0,0,0,0,2750,2750,2750,1735.3,2750,2177.35,15832.05,CE,2022-06-27 18:58:37.138098,18:58
13900,07-Jul-2022,NIFTY,OPTIDXNIFTY07-07-2022CE13900.00,0.0,0,0,0,0,0,0,0,5000,5000,1250,1887.8,1250,1987.75,15832.05,CE,2022-06-27 18:58:37.138098,18:58
